point_id,phase,boundary,comparison,role,slot,order,variant,mode,target_bytes,physical_batches,writers
b00102,boundary,bytes_65536_-1,copy_contiguous,baseline,2,BAAB,k_pwrite,process,65535,64,4
b00103,boundary,bytes_65536_-1,copy_contiguous,baseline,3,BAAB,k_pwrite,process,65535,64,4
b00104,boundary,bytes_65536_-1,copy_contiguous,candidate,4,BAAB,copy_contiguous,process,65535,64,4
b00105,boundary,bytes_65536_+0,pwritev_full_1m,baseline,1,ABBA,k_pwrite,process,65536,64,4
b00106,boundary,bytes_65536_+0,pwritev_full_1m,candidate,2,ABBA,pwritev_full_1m,process,65536,64,4
b00107,boundary,bytes_65536_+0,pwritev_full_1m,candidate,3,ABBA,pwritev_full_1m,process,65536,64,4
b00108,boundary,bytes_65536_+0,pwritev_full_1m,baseline,4,ABBA,k_pwrite,process,65536,64,4
b00109,boundary,bytes_65536_+0,copy_contiguous,candidate,1,BAAB,copy_contiguous,process,65536,64,4
b00110,boundary,bytes_65536_+0,copy_contiguous,baseline,2,BAAB,k_pwrite,process,65536,64,4
b00111,boundary,bytes_65536_+0,copy_contiguous,baseline,3,BAAB,k_pwrite,process,65536,64,4
b00112,boundary,bytes_65536_+0,copy_contiguous,candidate,4,BAAB,copy_contiguous,process,65536,64,4
b00113,boundary,bytes_65536_+1,pwritev_full_1m,baseline,1,ABBA,k_pwrite,process,65537,64,4
b00114,boundary,bytes_65536_+1,pwritev_full_1m,candidate,2,ABBA,pwritev_full_1m,process,65537,64,4
b00115,boundary,bytes_65536_+1,pwritev_full_1m,candidate,3,ABBA,pwritev_full_1m,process,65537,64,4
b00116,boundary,bytes_65536_+1,pwritev_full_1m,baseline,4,ABBA,k_pwrite,process,65537,64,4
b00117,boundary,bytes_65536_+1,copy_contiguous,candidate,1,BAAB,copy_contiguous,process,65537,64,4
b00118,boundary,bytes_65536_+1,copy_contiguous,baseline,2,BAAB,k_pwrite,process,65537,64,4
b00119,boundary,bytes_65536_+1,copy_contiguous,baseline,3,BAAB,k_pwrite,process,65537,64,4
b00120,boundary,bytes_65536_+1,copy_contiguous,candidate,4,BAAB,copy_contiguous,process,65537,64,4
b00121,boundary,bytes_262144_-1,pwritev_full_1m,baseline,1,ABBA,k_pwrite,process,262143,256,4
b00122,boundary,bytes_262144_-1,pwritev_full_1m,candidate,2,ABBA,pwritev_full_1m,process,262143,256,4
b00123,boundary,bytes_262144_-1,pwritev_full_1m,candidate,3,ABBA,pwritev_full_1m,process,262143,256,4
b00124,boundary,bytes_262144_-1,pwritev_full_1m,baseline,4,ABBA,k_pwrite,process,262143,256,4
b00125,boundary,bytes_262144_-1,pwritev_64_1m,candidate,1,BAAB,pwritev_64_1m,process,262143,256,4
b00126,boundary,bytes_262144_-1,pwritev_64_1m,baseline,2,BAAB,k_pwrite,process,262143,256,4
b00127,boundary,bytes_262144_-1,pwritev_64_1m,baseline,3,BAAB,k_pwrite,process,262143,256,4
b00128,boundary,bytes_262144_-1,pwritev_64_1m,candidate,4,BAAB,pwritev_64_1m,process,262143,256,4
b00129,boundary,bytes_262144_-1,copy_contiguous,baseline,1,ABBA,k_pwrite,process,262143,256,4
b00130,boundary,bytes_262144_-1,copy_contiguous,candidate,2,ABBA,copy_contiguous,process,262143,256,4
b00131,boundary,bytes_262144_-1,copy_contiguous,candidate,3,ABBA,copy_contiguous,process,262143,256,4
b00132,boundary,bytes_262144_-1,copy_contiguous,baseline,4,ABBA,k_pwrite,process,262143,256,4
b00133,boundary,bytes_262144_+0,pwritev_full_1m,candidate,1,BAAB,pwritev_full_1m,process,262144,256,4
b00134,boundary,bytes_262144_+0,pwritev_full_1m,baseline,2,BAAB,k_pwrite,process,262144,256,4
b00135,boundary,bytes_262144_+0,pwritev_full_1m,baseline,3,BAAB,k_pwrite,process,262144,256,4
b00136,boundary,bytes_262144_+0,pwritev_full_1m,candidate,4,BAAB,pwritev_full_1m,process,262144,256,4
b00137,boundary,bytes_262144_+0,pwritev_64_1m,baseline,1,ABBA,k_pwrite,process,262144,256,4
b00138,boundary,bytes_262144_+0,pwritev_64_1m,candidate,2,ABBA,pwritev_64_1m,process,262144,256,4
b00139,boundary,bytes_262144_+0,pwritev_64_1m,candidate,3,ABBA,pwritev_64_1m,process,262144,256,4
b00140,boundary,bytes_262144_+0,pwritev_64_1m,baseline,4,ABBA,k_pwrite,process,262144,256,4
b00141,boundary,bytes_262144_+0,copy_contiguous,candidate,1,BAAB,copy_contiguous,process,262144,256,4
b00142,boundary,bytes_262144_+0,copy_contiguous,baseline,2,BAAB,k_pwrite,process,262144,256,4
b00143,boundary,bytes_262144_+0,copy_contiguous,baseline,3,BAAB,k_pwrite,process,262144,256,4
b00144,boundary,bytes_262144_+0,copy_contiguous,candidate,4,BAAB,copy_contiguous,process,262144,256,4
b00145,boundary,bytes_262144_+1,pwritev_full_1m,baseline,1,ABBA,k_pwrite,process,262145,256,4
b00146,boundary,bytes_262144_+1,pwritev_full_1m,candidate,2,ABBA,pwritev_full_1m,process,262145,256,4
b00147,boundary,bytes_262144_+1,pwritev_full_1m,candidate,3,ABBA,pwritev_full_1m,process,262145,256,4
b00148,boundary,bytes_262144_+1,pwritev_full_1m,baseline,4,ABBA,k_pwrite,process,262145,256,4
b00149,boundary,bytes_262144_+1,pwritev_64_1m,candidate,1,BAAB,pwritev_64_1m,process,262145,256,4
b00150,boundary,bytes_262144_+1,pwritev_64_1m,baseline,2,BAAB,k_pwrite,process,262145,256,4
b00151,boundary,bytes_262144_+1,pwritev_64_1m,baseline,3,BAAB,k_pwrite,process,262145,256,4
b00152,boundary,bytes_262144_+1,pwritev_64_1m,candidate,4,BAAB,pwritev_64_1m,process,262145,256,4
b00153,boundary,bytes_262144_+1,copy_contiguous,baseline,1,ABBA,k_pwrite,process,262145,256,4
b00154,boundary,bytes_262144_+1,copy_contiguous,candidate,2,ABBA,copy_contiguous,process,262145,256,4
b00155,boundary,bytes_262144_+1,copy_contiguous,candidate,3,ABBA,copy_contiguous,process,262145,256,4
b00156,boundary,bytes_262144_+1,copy_contiguous,baseline,4,ABBA,k_pwrite,process,262145,256,4
b00157,boundary,bytes_1048576_-1,pwritev_full_1m,candidate,1,BAAB,pwritev_full_1m,process,1048575,256,4
b00158,boundary,bytes_1048576_-1,pwritev_full_1m,baseline,2,BAAB,k_pwrite,process,1048575,256,4
b00159,boundary,bytes_1048576_-1,pwritev_full_1m,baseline,3,BAAB,k_pwrite,process,1048575,256,4
b00160,boundary,bytes_1048576_-1,pwritev_full_1m,candidate,4,BAAB,pwritev_full_1m,process,1048575,256,4
b00161,boundary,bytes_1048576_-1,pwritev_64_1m,baseline,1,ABBA,k_pwrite,process,1048575,256,4
b00162,boundary,bytes_1048576_-1,pwritev_64_1m,candidate,2,ABBA,pwritev_64_1m,process,1048575,256,4
b00163,boundary,bytes_1048576_-1,pwritev_64_1m,candidate,3,ABBA,pwritev_64_1m,process,1048575,256,4
b00164,boundary,bytes_1048576_-1,pwritev_64_1m,baseline,4,ABBA,k_pwrite,process,1048575,256,4
b00165,boundary,bytes_1048576_-1,copy_contiguous,candidate,1,BAAB,copy_contiguous,process,1048575,256,4
b00166,boundary,bytes_1048576_-1,copy_contiguous,baseline,2,BAAB,k_pwrite,process,1048575,256,4
