cell,engine,mode,payload,batch,writers,bpw,shape,rep,ev_s,wall_s,p50_us,p99_us,fsyncs,mean_fsync_us
proc-p250-b10,b1,process,250,10,4,12500,perwriter,0,794895,0.6290,45.7,84.4,0,0.0
proc-p250-b10,b0d,process,250,10,4,12500,perwriter,0,1162362,0.4302,31.3,61.6,0,0.0
proc-p250-b10,b0dth,process,250,10,4,12500,perwriter,0,1358747,0.3680,26.4,48.7,0,0.0
proc-p250-b10,b0dth,process,250,10,4,12500,perwriter,1,1351352,0.3700,26.4,46.4,0,0.0
proc-p250-b10,b0d,process,250,10,4,12500,perwriter,1,1140424,0.4384,30.3,63.6,0,0.0
proc-p250-b10,b1,process,250,10,4,12500,perwriter,1,776785,0.6437,46.9,86.0,0,0.0
proc-p250-b10,b0,process,250,10,4,12500,perwriter,1,709047,0.7052,49.0,95.5,0,0.0
proc-p250-b10,log,process,250,10,4,12500,perwriter,1,554454,0.9018,65.5,123.0,0,0.0
proc-p250-b10,bare,process,250,10,4,12500,perwriter,1,1921743,0.2602,18.6,35.2,0,0.0
proc-p250-b10,bare,process,250,10,4,12500,perwriter,2,1932522,0.2587,18.5,32.0,0,0.0
proc-p250-b10,log,process,250,10,4,12500,perwriter,2,570127,0.8770,61.9,142.0,0,0.0
proc-p250-b10,b0,process,250,10,4,12500,perwriter,2,725138,0.6895,49.9,86.7,0,0.0
proc-p250-b10,b1,process,250,10,4,12500,perwriter,2,820205,0.6096,44.9,75.5,0,0.0
proc-p250-b10,b0d,process,250,10,4,12500,perwriter,2,1193095,0.4191,29.4,62.8,0,0.0
proc-p250-b10,b0dth,process,250,10,4,12500,perwriter,2,1374939,0.3637,26.0,45.2,0,0.0
group-p250-b10,bare,group,250,10,4,500,perwriter,0,12444,1.6072,2552.3,5827.2,609,2592.4
group-p250-b10,log,group,250,10,4,500,perwriter,0,14135,1.4150,2604.8,6188.7,503,2677.5
group-p250-b10,b0,group,250,10,4,500,perwriter,0,14154,1.4131,2703.1,5909.0,500,2569.4
group-p250-b10,b1,group,250,10,4,500,perwriter,0,13643,1.4660,2724.7,5139.3,500,2679.4
group-p250-b10,b0d,group,250,10,4,500,perwriter,0,13623,1.4681,2723.2,4875.1,500,2690.2
group-p250-b10,b0dth,group,250,10,4,500,perwriter,0,13380,1.4947,2716.5,5882.7,501,2737.5
group-p250-b10,b0dth,group,250,10,4,500,perwriter,1,13224,1.5124,2710.9,6394.5,500,2788.3
group-p250-b10,b0d,group,250,10,4,500,perwriter,1,13773,1.4521,2708.3,6112.1,500,2658.8
group-p250-b10,b1,group,250,10,4,500,perwriter,1,14681,1.3623,2704.1,3020.8,500,2461.5
group-p250-b10,b0,group,250,10,4,500,perwriter,1,14406,1.3883,2705.3,5964.3,500,2514.6
