phase,mode,payload,batch,writers,bpw,rep,ev_s,wall_s,p50_us,p99_us,fsyncs,mean_fsync_us,load1
candidate-a2,os,24,1,4,40,0,389,0.411601,9834.328,12987.375,164,2495.723,3.92
candidate-a2,os,24,1,4,40,1,363,0.440790,9933.448,25394.020,164,2674.067,3.92
candidate-a2,os,24,1,4,40,2,380,0.420522,10005.619,12290.145,164,2551.158,3.92
candidate-a2,os,24,10,4,30,0,3661,0.327795,10134.178,11979.616,124,2627.067,3.92
candidate-a2,os,24,10,4,30,1,3648,0.328955,10281.808,14730.933,124,2637.527,3.92
candidate-a2,os,24,10,4,30,2,3705,0.323884,10025.778,14669.253,124,2598.878,3.85
candidate-a2,os,24,100,4,20,0,36462,0.219408,10389.068,11479.446,84,2587.371,3.85
candidate-a2,os,24,100,4,20,1,35566,0.224931,10494.338,13269.324,84,2653.271,3.85
candidate-a2,os,24,100,4,20,2,33173,0.241164,10384.438,13200.324,84,2845.584,3.85
candidate-a2,os,24,1000,4,10,0,323979,0.123465,11060.517,19302.978,44,2753.845,3.85
candidate-a2,os,24,1000,4,10,1,325049,0.123058,10950.977,19634.977,44,2749.597,3.85
candidate-a2,os,24,1000,4,10,2,309055,0.129427,11818.446,19008.507,44,2888.162,3.85
candidate-a2,group,24,1,4,800,0,1407,2.273812,2689.697,5728.883,804,2590.922,3.85
candidate-a2,group,24,1,4,800,1,1408,2.273483,2688.097,5809.333,803,2590.618,3.94
candidate-a2,group,24,1,4,800,2,1416,2.259676,2680.407,5779.933,803,2577.350,3.94
candidate-a2,group,24,10,4,500,0,13774,1.452059,2705.547,5818.214,504,2627.832,3.94
candidate-a2,group,24,10,4,500,1,13997,1.428880,2701.667,4399.435,504,2590.418,3.86
candidate-a2,group,24,10,4,500,2,13578,1.472959,2701.027,5904.633,504,2673.270,3.86
candidate-a2,group,24,100,4,300,0,134152,0.894506,2755.757,5018.114,304,2614.116,3.86
candidate-a2,group,24,100,4,300,1,131229,0.914435,2763.387,8953.719,304,2682.134,3.86
candidate-a2,group,24,100,4,300,2,133853,0.896503,2751.506,4698.485,304,2615.605,3.71
candidate-a2,group,24,1000,4,100,0,931635,0.429353,4007.615,6239.093,103,3479.933,3.71
candidate-a2,group,24,1000,4,100,1,935709,0.427484,3747.605,6953.122,103,3429.619,3.71
candidate-a2,group,24,1000,4,100,2,1131580,0.353488,3018.377,5675.153,105,2686.412,3.71
