cell,engine,mode,payload,batch,writers,bpw,kind,rep,ev_s,per_append_us,wall_s,p50_us,p99_us,fsyncs,mean_fsync_us
proc-p250-b10-w4,bare,process,250,10,4,12500,stable,2,1872549,5.3403,0.2670,18.9,36.4,0,0.0
proc-p250-b10-w4,log,process,250,10,4,12500,stable,2,963903,10.3745,0.5187,35.8,76.5,0,0.0
group-p250-b10-w4,bare,group,250,10,4,500,stable,0,12891,775.7638,1.5515,2690.4,5789.5,501,3044.2
group-p250-b10-w4,log,group,250,10,4,500,stable,0,14378,695.5206,1.3910,2708.2,3994.2,504,2498.2
group-p250-b10-w4,log,group,250,10,4,500,stable,1,14312,698.7254,1.3975,2701.4,3500.9,504,2514.3
group-p250-b10-w4,bare,group,250,10,4,500,stable,1,15844,631.1629,1.2623,2500.1,2762.3,501,2470.4
group-p250-b10-w4,bare,group,250,10,4,500,stable,2,15272,654.8012,1.3096,2501.5,5689.4,501,2563.4
group-p250-b10-w4,log,group,250,10,4,500,stable,2,14186,704.9319,1.4099,2706.2,5971.1,503,2544.5
proc-p250-b100-w1,bare,process,250,100,1,2500,stable,0,2981632,33.5387,0.0838,26.8,48.0,0,0.0
proc-p250-b100-w1,log,process,250,100,1,2500,stable,0,2041024,48.9950,0.1225,40.1,75.6,0,0.0
proc-p250-b100-w1,log,process,250,100,1,2500,stable,1,1895210,52.7646,0.1319,41.9,117.3,0,0.0
proc-p250-b100-w1,bare,process,250,100,1,2500,stable,1,2975191,33.6113,0.0840,26.5,54.1,0,0.0
proc-p250-b100-w1,bare,process,250,100,1,2500,stable,2,3241367,30.8512,0.0771,25.9,43.8,0,0.0
proc-p250-b100-w1,log,process,250,100,1,2500,stable,2,1948666,51.3172,0.1283,42.2,71.9,0,0.0
group-p250-b100-w1,bare,group,250,100,1,300,stable,0,37626,2657.7173,0.7973,2504.6,5612.7,300,2605.1
group-p250-b100-w1,log,group,250,100,1,300,stable,0,35797,2793.5223,0.8381,2708.0,4499.1,300,2524.8
group-p250-b100-w1,log,group,250,100,1,300,stable,1,36401,2747.2066,0.8242,2690.6,4542.8,300,2480.3
group-p250-b100-w1,bare,group,250,100,1,300,stable,1,36896,2710.3063,0.8131,2496.6,5793.0,300,2652.8
group-p250-b100-w1,bare,group,250,100,1,300,stable,2,36185,2763.5781,0.8291,2520.4,4790.0,300,2712.1
group-p250-b100-w1,log,group,250,100,1,300,stable,2,33400,2993.9703,0.8982,2733.8,4725.9,300,2726.4
proc-p250-b100-w4,bare,process,250,100,4,2500,stable,0,4317704,23.1605,0.2316,78.8,122.2,0,0.0
proc-p250-b100-w4,log,process,250,100,4,2500,stable,0,3588175,27.8693,0.2787,74.8,145.4,0,0.0
proc-p250-b100-w4,log,process,250,100,4,2500,stable,1,3714918,26.9185,0.2692,72.7,148.4,0,0.0
proc-p250-b100-w4,bare,process,250,100,4,2500,stable,1,4462024,22.4114,0.2241,77.3,112.2,0,0.0
proc-p250-b100-w4,bare,process,250,100,4,2500,stable,2,4496570,22.2392,0.2224,77.8,118.2,0,0.0
proc-p250-b100-w4,log,process,250,100,4,2500,stable,2,3778751,26.4638,0.2646,72.7,133.4,0,0.0
group-p250-b100-w4,bare,group,250,100,4,300,stable,0,149007,671.1102,0.8053,2669.7,2890.6,301,2533.6
group-p250-b100-w4,log,group,250,100,4,300,stable,0,131580,759.9928,0.9120,2861.5,6100.5,304,2660.0
group-p250-b100-w4,log,group,250,100,4,300,stable,1,135135,740.0013,0.8880,2851.2,5963.5,303,2598.1
group-p250-b100-w4,bare,group,250,100,4,300,stable,1,145493,687.3180,0.8248,2673.9,5762.3,301,2601.1
group-p250-b100-w4,bare,group,250,100,4,300,stable,2,145496,687.3032,0.8248,2678.2,5785.3,301,2595.0
group-p250-b100-w4,log,group,250,100,4,300,stable,2,134259,744.8302,0.8938,2851.7,5993.5,303,2614.1
