cell,engine,mode,payload,batch,writers,bpw,kind,rep,ev_s,per_append_us,wall_s,p50_us,p99_us,fsyncs,mean_fsync_us
proc-p250-b1-w4,log,process,250,1,4,40000,stable,0,64521,15.4989,2.4798,54.3,121.4,0,0.0
proc-p250-b1-w4,log,process,250,1,4,40000,stable,1,65985,15.1549,2.4248,53.1,153.7,0,0.0
proc-p250-b1-w4,bare,process,250,1,4,40000,stable,1,361327,2.7676,0.4428,9.7,20.0,0,0.0
proc-p250-b1-w4,bare,process,250,1,4,40000,stable,2,350140,2.8560,0.4570,9.9,22.5,0,0.0
proc-p250-b1-w4,log,process,250,1,4,40000,stable,2,65362,15.2995,2.4479,53.9,118.3,0,0.0
group-p250-b1-w4,bare,group,250,1,4,800,stable,0,1422,703.0370,2.2497,2568.6,4607.7,801,2753.3
group-p250-b1-w4,log,group,250,1,4,800,stable,0,702,1425.1697,4.5605,5356.9,11225.8,1600,2831.4
group-p250-b1-w4,log,group,250,1,4,800,stable,1,1287,776.9107,2.4861,2800.8,5076.9,802,2977.1
group-p250-b1-w4,bare,group,250,1,4,800,stable,1,1522,656.9936,2.1024,2500.9,5553.3,801,2582.4
group-p250-b1-w4,bare,group,250,1,4,800,stable,2,1422,703.4067,2.2509,2540.2,5774.9,801,2753.1
group-p250-b1-w4,log,group,250,1,4,800,stable,2,1385,721.9573,2.3103,2650.3,5115.9,803,2754.1
proc-p250-b10-w1,bare,process,250,10,1,12500,stable,0,754236,13.2585,0.1657,11.6,23.9,0,0.0
proc-p250-b10-w1,log,process,250,10,1,12500,stable,0,253794,39.4021,0.4925,35.9,74.5,0,0.0
proc-p250-b10-w1,log,process,250,10,1,12500,stable,1,266449,37.5307,0.4691,35.0,69.3,0,0.0
proc-p250-b10-w1,bare,process,250,10,1,12500,stable,1,670502,14.9142,0.1864,12.9,27.1,0,0.0
proc-p250-b10-w1,bare,process,250,10,1,12500,stable,2,699181,14.3025,0.1788,11.5,27.4,0,0.0
proc-p250-b10-w1,log,process,250,10,1,12500,stable,2,261454,38.2476,0.4781,34.7,71.8,0,0.0
group-p250-b10-w1,bare,group,250,10,1,500,stable,0,3771,2651.6823,1.3258,2503.9,4743.1,500,2620.9
group-p250-b10-w1,log,group,250,10,1,500,stable,0,3935,2541.5566,1.2708,2514.5,2777.9,500,2470.6
group-p250-b10-w1,log,group,250,10,1,500,stable,1,3869,2584.8628,1.2924,2504.9,5743.4,500,2512.5
group-p250-b10-w1,bare,group,250,10,1,500,stable,1,3817,2619.8169,1.3099,2498.5,5689.3,500,2585.1
group-p250-b10-w1,bare,group,250,10,1,500,stable,2,3908,2559.1700,1.2796,2493.7,5614.0,500,2532.2
group-p250-b10-w1,log,group,250,10,1,500,stable,2,3904,2561.3247,1.2807,2516.7,3005.0,500,2487.4
proc-p250-b10-w4,bare,process,250,10,4,12500,stable,0,1934753,5.1686,0.2584,18.6,34.2,0,0.0
proc-p250-b10-w4,log,process,250,10,4,12500,stable,0,580569,17.2245,0.8612,59.4,187.3,0,0.0
proc-p250-b10-w4,log,process,250,10,4,12500,stable,1,600400,16.6556,0.8328,58.0,138.8,0,0.0
proc-p250-b10-w4,bare,process,250,10,4,12500,stable,1,1873958,5.3363,0.2668,18.7,34.0,0,0.0
proc-p250-b10-w4,bare,process,250,10,4,12500,stable,2,1947891,5.1338,0.2567,18.5,34.2,0,0.0
proc-p250-b10-w4,log,process,250,10,4,12500,stable,2,575845,17.3658,0.8683,60.1,241.1,0,0.0
