cell,engine,mode,payload,batch,writers,bpw,kind,seg_mb,rep,ev_s,per_append_us,wall_s,p50_us,p99_us,fsyncs,mean_fsync_us,load1
proc-p24-b10-w4,logsp,process,24,10,4,12500,stable,256,1,634540,15.7594,0.7880,54.2,130.9,0,0.0,3.09
proc-p24-b10-w4,log,process,24,10,4,12500,stable,256,1,658411,15.1881,0.7594,52.6,122.8,0,0.0,3.08
proc-p24-b10-w4,bare,process,24,10,4,12500,stable,256,1,3023016,3.3080,0.1654,11.0,22.1,0,0.0,3.08
proc-p24-b10-w4,bare,process,24,10,4,12500,stable,256,2,2984562,3.3506,0.1675,11.6,21.8,0,0.0,3.08
proc-p24-b10-w4,log,process,24,10,4,12500,stable,256,2,659868,15.1545,0.7577,53.2,122.6,0,0.0,3.08
proc-p24-b10-w4,logsp,process,24,10,4,12500,stable,256,2,672542,14.8690,0.7434,51.7,112.6,0,0.0,3.24
proc-p24-b10-w4,b0d,process,24,10,4,12500,stable,256,2,1241707,8.0534,0.4027,26.5,56.6,0,0.0,3.24
proc-p24-b10-w4,b0dth,process,24,10,4,12500,stable,256,2,1705474,5.8635,0.2932,19.1,43.0,0,0.0,3.24
group-p24-b10-w4,bare,group,24,10,4,500,stable,256,0,14368,695.9948,1.3920,2501.6,5687.7,506,2707.1,3.06
group-p24-b10-w4,log,group,24,10,4,500,stable,256,0,14371,695.8415,1.3917,2589.8,4538.8,503,2645.0,2.89
group-p24-b10-w4,logsp,group,24,10,4,500,stable,256,0,14475,690.8453,1.3817,2598.3,4813.9,503,2629.7,2.82
group-p24-b10-w4,b0d,group,24,10,4,500,stable,256,0,13645,732.8786,1.4658,2725.7,5862.0,500,2687.1,2.91
group-p24-b10-w4,b0dth,group,24,10,4,500,stable,256,0,14205,703.9990,1.4080,2699.9,4813.8,500,2580.9,3.48
group-p24-b10-w4,b0dth,group,24,10,4,500,stable,256,1,13996,714.5102,1.4290,2689.3,8913.8,501,2613.8,3.52
group-p24-b10-w4,b0d,group,24,10,4,500,stable,256,1,14836,674.0308,1.3481,2693.4,2949.5,500,2458.6,3.52
group-p24-b10-w4,logsp,group,24,10,4,500,stable,256,1,14220,703.2407,1.4065,2590.3,5110.0,543,2475.7,3.32
group-p24-b10-w4,log,group,24,10,4,500,stable,256,1,14782,676.5194,1.3530,2595.7,5099.8,509,2502.1,3.21
group-p24-b10-w4,bare,group,24,10,4,500,stable,256,1,15543,643.3560,1.2867,2496.1,5691.9,501,2521.4,3.03
group-p24-b10-w4,bare,group,24,10,4,500,stable,256,2,14538,687.8713,1.3757,2516.2,5640.6,503,2674.2,3.11
group-p24-b10-w4,log,group,24,10,4,500,stable,256,2,14431,692.9663,1.3859,2595.6,4842.5,505,2623.4,3.02
group-p24-b10-w4,logsp,group,24,10,4,500,stable,256,2,11217,891.5435,1.7831,2685.4,8505.6,647,2674.5,2.86
group-p24-b10-w4,b0d,group,24,10,4,500,stable,256,2,13888,720.0496,1.4401,2703.1,4584.9,500,2642.3,3.03
group-p24-b10-w4,b0dth,group,24,10,4,500,stable,256,2,13459,742.9708,1.4859,2710.8,5873.5,500,2734.7,3.03
proc-p24-b100-w1,bare,process,24,100,1,2500,stable,256,0,3379558,29.5897,0.0740,16.3,30.3,0,0.0,3.19
proc-p24-b100-w1,log,process,24,100,1,2500,stable,256,0,1506100,66.3966,0.1660,55.4,97.8,0,0.0,3.19
proc-p24-b100-w1,logsp,process,24,100,1,2500,stable,256,0,1658604,60.2917,0.1507,50.6,84.5,0,0.0,3.19
proc-p24-b100-w1,b0d,process,24,100,1,2500,stable,256,0,1806167,55.3659,0.1384,38.3,58.6,0,0.0,3.19
proc-p24-b100-w1,b0dth,process,24,100,1,2500,stable,256,0,2530549,39.5171,0.0988,19.5,41.0,0,0.0,3.19
proc-p24-b100-w1,b0dth,process,24,100,1,2500,stable,256,1,2717909,36.7930,0.0920,18.7,39.4,0,0.0,3.01
proc-p24-b100-w1,b0d,process,24,100,1,2500,stable,256,1,2096619,47.6958,0.1192,31.9,56.9,0,0.0,3.01
proc-p24-b100-w1,logsp,process,24,100,1,2500,stable,256,1,1677105,59.6266,0.1491,48.7,89.0,0,0.0,3.01
proc-p24-b100-w1,log,process,24,100,1,2500,stable,256,1,1776856,56.2792,0.1407,44.2,78.8,0,0.0,3.01
proc-p24-b100-w1,bare,process,24,100,1,2500,stable,256,1,3213133,31.1223,0.0778,16.7,33.8,0,0.0,3.01
proc-p24-b100-w1,bare,process,24,100,1,2500,stable,256,2,3578144,27.9475,0.0699,15.4,35.7,0,0.0,3.01
proc-p24-b100-w1,log,process,24,100,1,2500,stable,256,2,1652393,60.5183,0.1513,50.9,93.8,0,0.0,3.01
proc-p24-b100-w1,logsp,process,24,100,1,2500,stable,256,2,1631047,61.3103,0.1533,49.6,92.8,0,0.0,3.01
proc-p24-b100-w1,b0d,process,24,100,1,2500,stable,256,2,2015707,49.6104,0.1240,36.2,59.1,0,0.0,3.01
proc-p24-b100-w1,b0dth,process,24,100,1,2500,stable,256,2,2931482,34.1124,0.0853,18.0,36.5,0,0.0,3.01
group-p24-b100-w1,bare,group,24,100,1,300,stable,256,0,39705,2518.5946,0.7556,2495.9,2730.9,300,2481.5,2.93
group-p24-b100-w1,log,group,24,100,1,300,stable,256,0,37256,2684.1629,0.8052,2513.1,5724.2,300,2593.5,2.77
group-p24-b100-w1,logsp,group,24,100,1,300,stable,256,0,36893,2710.5096,0.8132,2575.8,4405.7,300,2617.1,2.63
group-p24-b100-w1,b0d,group,24,100,1,300,stable,256,0,33402,2993.7957,0.8981,2784.6,4553.6,300,2744.0,2.66
group-p24-b100-w1,b0dth,group,24,100,1,300,stable,256,0,32164,3109.0804,0.9327,2807.6,5683.8,300,2854.5,3.33
group-p24-b100-w1,b0dth,group,24,100,1,300,stable,256,1,32641,3063.5879,0.9191,2801.6,4820.0,300,2818.0,3.22
group-p24-b100-w1,b0d,group,24,100,1,300,stable,256,1,32428,3083.7341,0.9251,2782.8,5938.5,300,2827.6,3.12
group-p24-b100-w1,logsp,group,24,100,1,300,stable,256,1,33841,2955.0302,0.8865,2613.7,5473.2,300,2859.0,3.12
group-p24-b100-w1,log,group,24,100,1,300,stable,256,1,32393,3087.0958,0.9261,2599.7,8454.6,300,3003.0,3.33
group-p24-b100-w1,bare,group,24,100,1,300,stable,256,1,34810,2872.7707,0.8618,2616.1,4975.6,300,2828.4,3.23
group-p24-b100-w1,bare,group,24,100,1,300,stable,256,2,40032,2497.9718,0.7494,2490.7,2694.3,300,2461.6,3.77
group-p24-b100-w1,log,group,24,100,1,300,stable,256,2,38610,2589.9769,0.7770,2524.1,2842.2,300,2495.1,3.77
group-p24-b100-w1,logsp,group,24,100,1,300,stable,256,2,37614,2658.6151,0.7976,2559.1,5658.1,300,2563.5,3.63
group-p24-b100-w1,b0d,group,24,100,1,300,stable,256,2,36796,2717.6521,0.8153,2697.7,2904.6,300,2463.2,3.74
group-p24-b100-w1,b0dth,group,24,100,1,300,stable,256,2,36514,2738.6687,0.8216,2694.5,3090.7,300,2493.5,3.74
proc-p24-b100-w4,bare,process,24,100,4,2500,stable,256,0,8922213,11.2080,0.1121,29.6,75.3,0,0.0,3.85
proc-p24-b100-w4,log,process,24,100,4,2500,stable,256,0,2273934,43.9766,0.4398,122.6,303.4,0,0.0,3.85
proc-p24-b100-w4,logsp,process,24,100,4,2500,stable,256,0,2165813,46.1720,0.4617,129.4,333.6,0,0.0,3.85
proc-p24-b100-w4,b0d,process,24,100,4,2500,stable,256,0,2878928,34.7351,0.3474,88.6,225.9,0,0.0,3.85
proc-p24-b100-w4,b0dth,process,24,100,4,2500,stable,256,0,6786717,14.7347,0.1473,41.4,73.4,0,0.0,3.85
proc-p24-b100-w4,b0dth,process,24,100,4,2500,stable,256,1,6885139,14.5240,0.1452,41.3,72.0,0,0.0,3.70
proc-p24-b100-w4,b0d,process,24,100,4,2500,stable,256,1,2958531,33.8006,0.3380,87.3,213.7,0,0.0,3.70
proc-p24-b100-w4,logsp,process,24,100,4,2500,stable,256,1,2213904,45.1691,0.4517,126.9,301.5,0,0.0,3.70
