point_id,phase,comparison,role,repetition,slot,order,variant,mode,payload,events_per_batch,owner_intents,writers,unit_shape,feed_source,feed_weight
e000066,exploratory,copy_contiguous,candidate,1,2,ABBA,copy_contiguous,process,24,1,64,4,new_name,synthetic_sweep,1
e000067,exploratory,copy_contiguous,candidate,1,3,ABBA,copy_contiguous,process,24,1,64,4,new_name,synthetic_sweep,1
e000068,exploratory,copy_contiguous,baseline,1,4,ABBA,k_pwrite,process,24,1,64,4,new_name,synthetic_sweep,1
e000069,exploratory,pwritev_full_8m,candidate,1,1,BAAB,pwritev_full_8m,process,24,1,256,4,domain,synthetic_sweep,1
e000070,exploratory,pwritev_full_8m,baseline,1,2,BAAB,k_pwrite,process,24,1,256,4,domain,synthetic_sweep,1
e000071,exploratory,pwritev_full_8m,baseline,1,3,BAAB,k_pwrite,process,24,1,256,4,domain,synthetic_sweep,1
e000072,exploratory,pwritev_full_8m,candidate,1,4,BAAB,pwritev_full_8m,process,24,1,256,4,domain,synthetic_sweep,1
e000073,exploratory,pwritev_64_8m,baseline,1,1,ABBA,k_pwrite,process,24,1,256,4,domain,synthetic_sweep,1
e000074,exploratory,pwritev_64_8m,candidate,1,2,ABBA,pwritev_64_8m,process,24,1,256,4,domain,synthetic_sweep,1
e000075,exploratory,pwritev_64_8m,candidate,1,3,ABBA,pwritev_64_8m,process,24,1,256,4,domain,synthetic_sweep,1
e000076,exploratory,pwritev_64_8m,baseline,1,4,ABBA,k_pwrite,process,24,1,256,4,domain,synthetic_sweep,1
e000077,exploratory,copy_contiguous,candidate,1,1,BAAB,copy_contiguous,process,24,1,256,4,domain,synthetic_sweep,1
e000078,exploratory,copy_contiguous,baseline,1,2,BAAB,k_pwrite,process,24,1,256,4,domain,synthetic_sweep,1
e000079,exploratory,copy_contiguous,baseline,1,3,BAAB,k_pwrite,process,24,1,256,4,domain,synthetic_sweep,1
e000080,exploratory,copy_contiguous,candidate,1,4,BAAB,copy_contiguous,process,24,1,256,4,domain,synthetic_sweep,1
e000081,exploratory,pwritev_full_8m,baseline,1,1,ABBA,k_pwrite,process,24,1,256,4,new_name,synthetic_sweep,1
e000082,exploratory,pwritev_full_8m,candidate,1,2,ABBA,pwritev_full_8m,process,24,1,256,4,new_name,synthetic_sweep,1
e000083,exploratory,pwritev_full_8m,candidate,1,3,ABBA,pwritev_full_8m,process,24,1,256,4,new_name,synthetic_sweep,1
e000084,exploratory,pwritev_full_8m,baseline,1,4,ABBA,k_pwrite,process,24,1,256,4,new_name,synthetic_sweep,1
e000085,exploratory,pwritev_256_8m,candidate,1,1,BAAB,pwritev_256_8m,process,24,1,256,4,new_name,synthetic_sweep,1
e000086,exploratory,pwritev_256_8m,baseline,1,2,BAAB,k_pwrite,process,24,1,256,4,new_name,synthetic_sweep,1
e000087,exploratory,pwritev_256_8m,baseline,1,3,BAAB,k_pwrite,process,24,1,256,4,new_name,synthetic_sweep,1
e000088,exploratory,pwritev_256_8m,candidate,1,4,BAAB,pwritev_256_8m,process,24,1,256,4,new_name,synthetic_sweep,1
e000089,exploratory,pwritev_64_8m,baseline,1,1,ABBA,k_pwrite,process,24,1,256,4,new_name,synthetic_sweep,1
e000090,exploratory,pwritev_64_8m,candidate,1,2,ABBA,pwritev_64_8m,process,24,1,256,4,new_name,synthetic_sweep,1
e000091,exploratory,pwritev_64_8m,candidate,1,3,ABBA,pwritev_64_8m,process,24,1,256,4,new_name,synthetic_sweep,1
e000092,exploratory,pwritev_64_8m,baseline,1,4,ABBA,k_pwrite,process,24,1,256,4,new_name,synthetic_sweep,1
e000093,exploratory,copy_contiguous,candidate,1,1,BAAB,copy_contiguous,process,24,1,256,4,new_name,synthetic_sweep,1
e000094,exploratory,copy_contiguous,baseline,1,2,BAAB,k_pwrite,process,24,1,256,4,new_name,synthetic_sweep,1
e000095,exploratory,copy_contiguous,baseline,1,3,BAAB,k_pwrite,process,24,1,256,4,new_name,synthetic_sweep,1
e000096,exploratory,copy_contiguous,candidate,1,4,BAAB,copy_contiguous,process,24,1,256,4,new_name,synthetic_sweep,1
e000097,exploratory,pwritev_full_8m,baseline,1,1,ABBA,k_pwrite,process,24,1,1024,4,domain,synthetic_sweep,1
e000098,exploratory,pwritev_full_8m,candidate,1,2,ABBA,pwritev_full_8m,process,24,1,1024,4,domain,synthetic_sweep,1
e000099,exploratory,pwritev_full_8m,candidate,1,3,ABBA,pwritev_full_8m,process,24,1,1024,4,domain,synthetic_sweep,1
e000100,exploratory,pwritev_full_8m,baseline,1,4,ABBA,k_pwrite,process,24,1,1024,4,domain,synthetic_sweep,1
e000101,exploratory,pwritev_256_8m,candidate,1,1,BAAB,pwritev_256_8m,process,24,1,1024,4,domain,synthetic_sweep,1
e000102,exploratory,pwritev_256_8m,baseline,1,2,BAAB,k_pwrite,process,24,1,1024,4,domain,synthetic_sweep,1
e000103,exploratory,pwritev_256_8m,baseline,1,3,BAAB,k_pwrite,process,24,1,1024,4,domain,synthetic_sweep,1
e000104,exploratory,pwritev_256_8m,candidate,1,4,BAAB,pwritev_256_8m,process,24,1,1024,4,domain,synthetic_sweep,1
e000105,exploratory,pwritev_64_8m,baseline,1,1,ABBA,k_pwrite,process,24,1,1024,4,domain,synthetic_sweep,1
e000106,exploratory,pwritev_64_8m,candidate,1,2,ABBA,pwritev_64_8m,process,24,1,1024,4,domain,synthetic_sweep,1
e000107,exploratory,pwritev_64_8m,candidate,1,3,ABBA,pwritev_64_8m,process,24,1,1024,4,domain,synthetic_sweep,1
e000108,exploratory,pwritev_64_8m,baseline,1,4,ABBA,k_pwrite,process,24,1,1024,4,domain,synthetic_sweep,1
e000109,exploratory,copy_contiguous,candidate,1,1,BAAB,copy_contiguous,process,24,1,1024,4,domain,synthetic_sweep,1
e000110,exploratory,copy_contiguous,baseline,1,2,BAAB,k_pwrite,process,24,1,1024,4,domain,synthetic_sweep,1
e000111,exploratory,copy_contiguous,baseline,1,3,BAAB,k_pwrite,process,24,1,1024,4,domain,synthetic_sweep,1
e000112,exploratory,copy_contiguous,candidate,1,4,BAAB,copy_contiguous,process,24,1,1024,4,domain,synthetic_sweep,1
e000113,exploratory,pwritev_full_8m,baseline,1,1,ABBA,k_pwrite,process,24,1,1024,4,new_name,synthetic_sweep,1
e000114,exploratory,pwritev_full_8m,candidate,1,2,ABBA,pwritev_full_8m,process,24,1,1024,4,new_name,synthetic_sweep,1
e000115,exploratory,pwritev_full_8m,candidate,1,3,ABBA,pwritev_full_8m,process,24,1,1024,4,new_name,synthetic_sweep,1
e000116,exploratory,pwritev_full_8m,baseline,1,4,ABBA,k_pwrite,process,24,1,1024,4,new_name,synthetic_sweep,1
e000117,exploratory,pwritev_256_8m,candidate,1,1,BAAB,pwritev_256_8m,process,24,1,1024,4,new_name,synthetic_sweep,1
e000118,exploratory,pwritev_256_8m,baseline,1,2,BAAB,k_pwrite,process,24,1,1024,4,new_name,synthetic_sweep,1
e000119,exploratory,pwritev_256_8m,baseline,1,3,BAAB,k_pwrite,process,24,1,1024,4,new_name,synthetic_sweep,1
e000120,exploratory,pwritev_256_8m,candidate,1,4,BAAB,pwritev_256_8m,process,24,1,1024,4,new_name,synthetic_sweep,1
e000121,exploratory,pwritev_64_8m,baseline,1,1,ABBA,k_pwrite,process,24,1,1024,4,new_name,synthetic_sweep,1
e000122,exploratory,pwritev_64_8m,candidate,1,2,ABBA,pwritev_64_8m,process,24,1,1024,4,new_name,synthetic_sweep,1
e000123,exploratory,pwritev_64_8m,candidate,1,3,ABBA,pwritev_64_8m,process,24,1,1024,4,new_name,synthetic_sweep,1
e000124,exploratory,pwritev_64_8m,baseline,1,4,ABBA,k_pwrite,process,24,1,1024,4,new_name,synthetic_sweep,1
e000125,exploratory,copy_contiguous,candidate,1,1,BAAB,copy_contiguous,process,24,1,1024,4,new_name,synthetic_sweep,1
e000126,exploratory,copy_contiguous,baseline,1,2,BAAB,k_pwrite,process,24,1,1024,4,new_name,synthetic_sweep,1
e000127,exploratory,copy_contiguous,baseline,1,3,BAAB,k_pwrite,process,24,1,1024,4,new_name,synthetic_sweep,1
e000128,exploratory,copy_contiguous,candidate,1,4,BAAB,copy_contiguous,process,24,1,1024,4,new_name,synthetic_sweep,1
e000129,exploratory,pwritev_full_8m,baseline,1,1,ABBA,k_pwrite,process,24,1,1025,4,domain,synthetic_sweep,1
e000130,exploratory,pwritev_full_8m,candidate,1,2,ABBA,pwritev_full_8m,process,24,1,1025,4,domain,synthetic_sweep,1
e000131,exploratory,pwritev_full_8m,candidate,1,3,ABBA,pwritev_full_8m,process,24,1,1025,4,domain,synthetic_sweep,1
e000132,exploratory,pwritev_full_8m,baseline,1,4,ABBA,k_pwrite,process,24,1,1025,4,domain,synthetic_sweep,1
e000133,exploratory,pwritev_256_8m,candidate,1,1,BAAB,pwritev_256_8m,process,24,1,1025,4,domain,synthetic_sweep,1
e000134,exploratory,pwritev_256_8m,baseline,1,2,BAAB,k_pwrite,process,24,1,1025,4,domain,synthetic_sweep,1
e000135,exploratory,pwritev_256_8m,baseline,1,3,BAAB,k_pwrite,process,24,1,1025,4,domain,synthetic_sweep,1
e000136,exploratory,pwritev_256_8m,candidate,1,4,BAAB,pwritev_256_8m,process,24,1,1025,4,domain,synthetic_sweep,1
e000137,exploratory,pwritev_64_8m,baseline,1,1,ABBA,k_pwrite,process,24,1,1025,4,domain,synthetic_sweep,1
e000138,exploratory,pwritev_64_8m,candidate,1,2,ABBA,pwritev_64_8m,process,24,1,1025,4,domain,synthetic_sweep,1
e000139,exploratory,pwritev_64_8m,candidate,1,3,ABBA,pwritev_64_8m,process,24,1,1025,4,domain,synthetic_sweep,1
e000140,exploratory,pwritev_64_8m,baseline,1,4,ABBA,k_pwrite,process,24,1,1025,4,domain,synthetic_sweep,1
e000141,exploratory,copy_contiguous,candidate,1,1,BAAB,copy_contiguous,process,24,1,1025,4,domain,synthetic_sweep,1
e000142,exploratory,copy_contiguous,baseline,1,2,BAAB,k_pwrite,process,24,1,1025,4,domain,synthetic_sweep,1
e000143,exploratory,copy_contiguous,baseline,1,3,BAAB,k_pwrite,process,24,1,1025,4,domain,synthetic_sweep,1
e000144,exploratory,copy_contiguous,candidate,1,4,BAAB,copy_contiguous,process,24,1,1025,4,domain,synthetic_sweep,1
e000145,exploratory,pwritev_full_8m,baseline,1,1,ABBA,k_pwrite,process,24,1,1025,4,new_name,synthetic_sweep,1
e000146,exploratory,pwritev_full_8m,candidate,1,2,ABBA,pwritev_full_8m,process,24,1,1025,4,new_name,synthetic_sweep,1
e000147,exploratory,pwritev_full_8m,candidate,1,3,ABBA,pwritev_full_8m,process,24,1,1025,4,new_name,synthetic_sweep,1
e000148,exploratory,pwritev_full_8m,baseline,1,4,ABBA,k_pwrite,process,24,1,1025,4,new_name,synthetic_sweep,1
e000149,exploratory,pwritev_256_8m,candidate,1,1,BAAB,pwritev_256_8m,process,24,1,1025,4,new_name,synthetic_sweep,1
e000150,exploratory,pwritev_256_8m,baseline,1,2,BAAB,k_pwrite,process,24,1,1025,4,new_name,synthetic_sweep,1
e000151,exploratory,pwritev_256_8m,baseline,1,3,BAAB,k_pwrite,process,24,1,1025,4,new_name,synthetic_sweep,1
e000152,exploratory,pwritev_256_8m,candidate,1,4,BAAB,pwritev_256_8m,process,24,1,1025,4,new_name,synthetic_sweep,1
e000153,exploratory,pwritev_64_8m,baseline,1,1,ABBA,k_pwrite,process,24,1,1025,4,new_name,synthetic_sweep,1
e000154,exploratory,pwritev_64_8m,candidate,1,2,ABBA,pwritev_64_8m,process,24,1,1025,4,new_name,synthetic_sweep,1
e000155,exploratory,pwritev_64_8m,candidate,1,3,ABBA,pwritev_64_8m,process,24,1,1025,4,new_name,synthetic_sweep,1
e000156,exploratory,pwritev_64_8m,baseline,1,4,ABBA,k_pwrite,process,24,1,1025,4,new_name,synthetic_sweep,1
e000157,exploratory,copy_contiguous,candidate,1,1,BAAB,copy_contiguous,process,24,1,1025,4,new_name,synthetic_sweep,1
e000158,exploratory,copy_contiguous,baseline,1,2,BAAB,k_pwrite,process,24,1,1025,4,new_name,synthetic_sweep,1
e000159,exploratory,copy_contiguous,baseline,1,3,BAAB,k_pwrite,process,24,1,1025,4,new_name,synthetic_sweep,1
e000160,exploratory,copy_contiguous,candidate,1,4,BAAB,copy_contiguous,process,24,1,1025,4,new_name,synthetic_sweep,1
e000161,exploratory,pwritev_full_8m,baseline,1,1,ABBA,k_pwrite,process,24,10,2,2,domain,synthetic_sweep,1
e000162,exploratory,pwritev_full_8m,candidate,1,2,ABBA,pwritev_full_8m,process,24,10,2,2,domain,synthetic_sweep,1
